name,potal_code_condo
NXT & NXT2 Condominiums,"103-105 The Queensway, Toronto"
NY Place,"103-105 The Queensway, Toronto"
One Bedford,"1 Bedford, Toronto"
One Park Tower,"388 Prince of Wales Drive, Mississauga"
One St Thomas,"1 St Thomas St, Toronto"
OnePark West,"Sackville Street at Cole Street, Toronto"
Ontario Square and Canada Square,"Queens Quay W & Lower Simcoe St, Toronto"
Paintbox,"Dundas Street East at Sackville Street, Toronto"
Palais at Port Royal Condos,"Dundas Street East at Sackville Street, Toronto"
Panorama at Concord CityPlace,"500 Lake Shore Blvd W, Toronto"
Parade at Concord CityPlace,"15 Iceboat Terrace, Toronto"
Parc - Loft Residences on King West,"25 Stafford St, Toronto"
Parc Nuvo at Essex,"15 Viking Ln, Etobicoke"
Park 570 Condos,"570 Lolita Gardens, Mississauga"
Peter Gilgan Centre for Research and Learning,"660 Bay St, Toronto"
Pickering GO Pedestrian Bridge,"Pickering GO Station, Pickering"
Pinnacle Centre Condos,"Pickering GO Station, Pickering"
Printing Factory Lofts,"201 Carlaw Ave, Toronto"
Quay West at Tip Top,"90 Stadium Rd, Toronto"
Queen & Portland Loft & Condominium Residences,"589 Queen St W, Toronto"
Regent Park Central Park & Aquatic Centre,"Dundas and Sackville Streets, Toronto"
Republic Of Yonge And Eglinton Condos,"70 Roehampton, Toronto"
"Residences at The Ritz-Carlton, Toronto","183 Wellington St W, Toronto"
Residences Of College Park Condos,"763 Bay Street, Toronto"
Rêve,"560 Front Street West, Toronto"
Rezen Condos,"205 Frederick Street, Toronto"
Ripley's Aquarium of Canada,"258 Bremner Blvd., Toronto"
Roncesvalles Lofts,"25 Ritchie St, Toronto"
Royal Ontario Museum,"110 Queen's Park, Toronto"
Ryerson Image Centre,"Gould Street & Bond Street, Toronto"
Ryerson's Mattamy Athletics Centre + Loblaws at the Gardens,"60 Carlton St, Toronto"
Savvy Condos,"34 Glendora Avenue, Toronto"
Seventy5 Portland,"75 Portland St, Toronto"
"Sherbourne Common, Canada's Sugar Beach, and the Water's Edge Promenade","Queens Quay East & Sherbourne St, Toronto"
"Shops of Summerhill, The","1099 Yonge Street, Toronto"
"Shores, The","1 Bronte Rd, Oakville"
SIX50 King West,"650 King St W, Toronto"
Solaris at Metrogate Condos,"125 Village Green Sq, Toronto"
South Beach Condos + Lofts,"88 Park Lawn Road, Toronto"
Spire Condos,"98 Church Street, Toronto"
St. James Cathedral Parish House,"65 Church Street, Toronto"
"Station Condos on the Subway, The","545 Wilson Ave., Toronto"
Stonebrook Condominiums,"1055 Southdown Rd, Mississauga"
Sync Lofts Condos,"630 Queen St. E, Toronto"
Tango2 at Concord Park Place,"1 Provost Drive, Toronto"
TCHC Block 32 Development,"Dan Leckie Way and Fort York Blvd, Toronto"
Telus House - 25 York Street,"25 York St, Toronto"
Terrace on the Danforth,"3520 Danforth Ave, Toronto"
Toronto City Hall and Nathan Phillips Square,"100 Queen St W, Toronto"
"Tower at King West, The","125 Western Battery Rd, Toronto"
Toy Factory Lofts,"43 Hanna Ave, Toronto"
Trinity Lofts,"2 Eastern Avenue, Toronto"
Trinity-Bellwoods Towns+Homes,"250 Manning Avenue, Toronto"
Trump Residences Toronto,"311 Bay St., Toronto"
Turning Torso,"Lilla Varvsgatan 14, Malm_"
TwentyOne Clairtrell,"21 Clairtrell Road, Toronto"
Two Gladstone,"2 Gladstone Ave., Toronto"
U of T: Goldring Student Centre at Victoria University,"150 Charles St W, Toronto"
U of T: UTM Innovation Complex,"3359 Mississauga Road, Mississauga"
U of T: UTM Instructional Centre,"University of Toronto Mississauga, Mississauga"
U of T: UTM North Building Reconstruction,"North Bldg, Mississauga"
U of T: UTM Terrence Donnelly Health Sciences Complex,"Health Sciences Complex, Mississauga"
U of T: UTSC Instructional Centre,"Military Trail & Ellesmere Rd, Scarborough"
Underpass Park,"168 Eastern Av, Toronto"
"Uptown Residences, The","35 Balmuto St., Toronto"
Ventus at Metrogate Condos,"181 Village Green Sq, Toronto"
Victory Condos,"478 King St West , Toronto"
Vu Condos,"116 George Street, Toronto"
Waterparkcity Condominiums,"219 Fort York Blvd, Toronto"
West Harbour City,"Fleet St at Bastion St, Toronto"
Widesuites Condominiums,"208 Enfield Place, Mississauga"
Worklofts + Flatiron Lofts in the Film District,"Dundas Street East at Carlaw Avenue, Toronto"
X The Condominium,"588 Jarvis Street,, Toronto"
YWCA Elm Centre,"87 Elm Street, Toronto"
